Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21735.2759,NA,16.44980000000000,16.56810000000000,1.47830000000000,4.74790000000000,5.0100,NA,21720.3218,16.4324,14.9541,1.4783,15.6085,4.0935,4.0201,0.0734,0.0520,21720.3218,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21753.6418,NA,18.36590000000000,19.20040000000000,1.72580000000000,5.66670000000000,5.8445,NA,21736.7542,18.6134,16.8876,1.7258,17.7531,4.8012,3.9052,0.8960,-2.7680,21736.7542,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21769.2067,NA,15.56490000000000,14.92060000000000,1.51860000000000,5.02950000000000,5.2002,NA,21755.3676,15.3577,13.8391,1.5186,14.4701,4.3985,4.2932,0.1053,3.6928,21755.3676,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21785.5246,NA,16.31790000000000,16.04380000000000,1.61950000000000,4.80590000000000,4.9261,NA,21770.7253,16.4188,14.7993,1.6195,15.5468,4.0584,3.9211,0.1373,-0.6861,21770.7253,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21802.1968,NA,16.67220000000000,16.78260000000000,1.80630000000000,4.91980000000000,5.0365,NA,21787.1441,16.8590,15.0527,1.8063,15.8634,4.1091,4.0073,0.1018,-0.3638,21787.1441,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21818.7240,NA,16.52720000000000,16.46850000000000,1.80160000000000,4.85790000000000,4.9778,NA,21804.0031,16.5225,14.7209,1.8016,15.4453,4.1335,4.0422,0.0913,0.3905,21804.0031,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21835.3798,NA,16.65580000000000,16.87010000000000,2.50020000000000,5.07650000000000,5.1921,NA,21820.5256,17.3544,14.8542,2.5002,15.7414,4.1893,4.0261,0.1632,-0.3476,21820.5256,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21852.5330,NA,17.15320000000000,17.51310000000000,1.76550000000000,5.34630000000000,5.5520,NA,21837.8800,16.4185,14.6530,1.7655,15.6054,4.3939,4.2843,0.1096,-0.1587,21837.8800,11.5598,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21869.7902,NA,17.25720000000000,17.98050000000000,2.46910000000000,6.08130000000000,6.2753,NA,21854.2985,17.9608,15.4917,2.4691,17.0108,4.5622,3.8645,0.6977,-1.5620,21854.2985,NA,NA
gamemd.exe,18224,0x42C3CE0,D3D9,0,0,1,Hardware: Independent Flip,21886.4384,NA,16.64820000000000,15.48450000000000,1.41930000000000,4.95900000000000,5.1116,NA,21872.2593,15.5984,14.1791,1.4193,14.8072,4.3309,4.1262,0.2047,2.4763,21872.2593,NA,NA
