Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,51957.1590,NA,17.05150000000000,16.53300000000000,1.25570000000000,4.11040000000000,4.2205,NA,51942.3797,16.0350,14.7793,1.2557,15.3939,3.4958,3.4359,0.0599,1.6573,51942.3797,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,51973.4468,NA,16.28780000000000,16.40650000000000,0.96300000000000,4.14160000000000,4.3392,NA,51958.4147,15.9951,15.0321,0.9630,15.4778,3.6959,3.6371,0.0588,-0.3715,51958.4147,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,51990.1013,NA,16.65450000000000,16.40610000000000,0.97450000000000,3.95690000000000,4.0908,NA,51974.4098,16.6660,15.6915,0.9745,16.1268,3.5216,3.4660,0.0556,-0.4110,51974.4098,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52006.4974,NA,16.39610000000000,16.49040000000000,0.85180000000000,4.04970000000000,4.1851,NA,51991.0758,16.2734,15.4216,0.8518,15.8051,3.6662,3.5986,0.0676,0.1756,51991.0758,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52023.4492,NA,16.95180000000000,16.88220000000000,0.78030000000000,3.98540000000000,4.1155,NA,52007.3492,16.8803,16.1000,0.7803,16.4707,3.6147,3.5577,0.0570,-0.6088,52007.3492,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52040.0891,NA,16.63990000000000,16.99380000000000,1.01740000000000,4.29960000000000,4.4694,NA,52024.2295,16.8770,15.8596,1.0174,16.2945,3.8647,3.7844,0.0803,-0.1135,52024.2295,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52056.9197,NA,16.83060000000000,16.80140000000000,1.24240000000000,4.30190000000000,4.4402,NA,52041.1065,17.0556,15.8132,1.2424,16.5526,3.5625,3.4621,0.1004,0.0756,52041.1065,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52073.0200,NA,16.10030000000000,15.98110000000000,1.01930000000000,4.20340000000000,4.3210,NA,52058.1621,15.8772,14.8579,1.0193,15.2860,3.7753,3.6827,0.0926,1.0745,52058.1621,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52090.1133,NA,17.09330000000000,16.98570000000000,1.04870000000000,4.10100000000000,4.2134,NA,52074.0393,17.1227,16.0740,1.0487,16.6106,3.5644,3.4911,0.0733,-1.1085,52074.0393,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52106.7495,NA,16.63620000000000,16.58980000000000,1.00340000000000,4.05460000000000,4.1670,NA,52091.1620,16.5909,15.5875,1.0034,16.0411,3.6010,3.5463,0.0547,0.5329,52091.1620,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52123.4907,NA,16.74120000000000,16.62000000000000,0.87810000000000,3.93150000000000,4.0458,NA,52107.7529,16.6159,15.7378,0.8781,16.1286,3.5407,3.4978,0.0429,-0.0291,52107.7529,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52140.4477,NA,16.95700000000000,17.68850000000000,1.57450000000000,4.56750000000000,4.7773,NA,52124.3688,17.6534,16.0789,1.5745,17.0335,3.6129,3.5457,0.0672,-1.0726,52124.3688,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52157.2594,NA,16.81170000000000,16.09620000000000,0.91260000000000,3.93590000000000,4.0618,NA,52142.0222,16.1498,15.2372,0.9126,15.6569,3.5162,3.4677,0.0485,1.5572,52142.0222,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52173.4680,NA,16.20860000000000,16.32320000000000,0.85800000000000,4.06350000000000,4.1764,NA,52158.1720,16.1540,15.2960,0.8580,15.6331,3.7264,3.6714,0.0550,-0.1734,52158.1720,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52190.1284,NA,16.66040000000000,16.71560000000000,0.95610000000000,4.06940000000000,4.2316,NA,52174.3260,16.7585,15.8024,0.9561,16.2668,3.6050,3.5245,0.0805,-0.5616,52174.3260,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52206.9593,NA,16.83090000000000,17.37120000000000,1.76060000000000,4.64290000000000,4.7719,NA,52191.0845,17.6354,15.8748,1.7606,16.9064,3.6113,3.5339,0.0774,-0.6127,52191.0845,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52223.1728,NA,16.21350000000000,15.61970000000000,0.96600000000000,4.06430000000000,4.1781,NA,52208.7199,15.4189,14.4529,0.9660,14.8914,3.6258,3.5768,0.0490,2.0157,52208.7199,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52239.9632,NA,16.79040000000000,16.98730000000000,1.22790000000000,4.22230000000000,4.3750,NA,52224.1388,17.0523,15.8244,1.2279,16.3803,3.6664,3.5978,0.0686,-1.5684,52224.1388,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52256.7015,NA,16.73830000000000,16.78220000000000,1.54150000000000,4.30340000000000,4.4189,NA,52241.1911,17.0519,15.5104,1.5415,16.1554,3.6584,3.6051,0.0533,0.2701,52241.1911,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52273.0987,NA,16.39720000000000,16.06530000000000,0.80900000000000,3.96830000000000,4.0870,NA,52258.2430,15.6647,14.8557,0.8090,15.2432,3.5808,3.5384,0.0424,0.9866,52258.2430,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52289.9897,NA,16.89100000000000,16.77090000000000,0.80820000000000,3.83260000000000,3.9669,NA,52273.9077,16.8902,16.0820,0.8082,16.4635,3.4511,3.4099,0.0412,-1.1062,52273.9077,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52306.8080,NA,16.81830000000000,17.00170000000000,0.87950000000000,4.03820000000000,4.1503,NA,52290.7979,16.8896,16.0101,0.8795,16.4690,3.5793,3.5250,0.0543,-0.1115,52290.7979,NA,NA
